  2509.17    0.12048E-15    0.89252E-17    0.22186-159    0.16436-160    0.78314E-15
  2511.79    0.12558E-15    0.93303E-17    0.00000E+00    0.00000E+00    0.78743E-15
  2514.42    0.13146E-15    0.97955E-17    0.14303E-16    0.10658E-17    0.79173E-15
  2517.05    0.13332E-15    0.99633E-17    0.17158E-15    0.12822E-16    0.79605E-15
  2519.68    0.14040E-15    0.10523E-16    0.25124E-15    0.18830E-16    0.80038E-15
  2522.32    0.14490E-15    0.10892E-16    0.20541E-15    0.15440E-16    0.80472E-15
  2524.96    0.15563E-15    0.11732E-16    0.24950E-15    0.18809E-16    0.80908E-15
  2527.60    0.16428E-15    0.12421E-16    0.12362E-15    0.93463E-17    0.81346E-15
  2530.25    0.17455E-15    0.13235E-16    0.19341E-15    0.14665E-16    0.81785E-15
  2532.89    0.17762E-15    0.13507E-16    0.27705E-15    0.21068E-16    0.82225E-15
  2535.54    0.19066E-15    0.14541E-16    0.22749E-15    0.17350E-16    0.82667E-15
  2538.20    0.19965E-15    0.15271E-16    0.85586E-16    0.65461E-17    0.83111E-15
  2540.85    0.21986E-15    0.16864E-16    0.66726E-16    0.51183E-17    0.83555E-15
  2543.51    0.23903E-15    0.18388E-16    0.00000E+00    0.00000E+00    0.84002E-15
  2546.17    0.25397E-15    0.19594E-16    0.22186-159    0.17116-160    0.84450E-15
  2548.84    0.26750E-15    0.20697E-16    0.22186-159    0.17166-160    0.84899E-15
  2551.50    0.28409E-15    0.22043E-16    0.22186-159    0.17215-160    0.85349E-15
  2554.17    0.29065E-15    0.22617E-16    0.22186-159    0.17265-160    0.85801E-15
  2556.85    0.28604E-15    0.22323E-16    0.00000E+00    0.00000E+00    0.86255E-15
  2559.52    0.31358E-15    0.24542E-16    0.16495E-16    0.12909E-17    0.86710E-15
  2562.20    0.35248E-15    0.27666E-16    0.20228E-15    0.15877E-16    0.87166E-15
  2564.88    0.40471E-15    0.31856E-16    0.29646E-15    0.23335E-16    0.87624E-15
  2567.56    0.45093E-15    0.35596E-16    0.29902E-15    0.23604E-16    0.88084E-15
  2570.25    0.47098E-15    0.37284E-16    0.20997E-15    0.16622E-16    0.88544E-15
  2572.94    0.45280E-15    0.35948E-16    0.00000E+00    0.00000E+00    0.89007E-15
  2575.63    0.44400E-15    0.35349E-16    0.89024E-17    0.70877E-18    0.89470E-15
  2578.33    0.43207E-15    0.34497E-16    0.11454E-15    0.91454E-17    0.89935E-15
  2581.02    0.44837E-15    0.35901E-16    0.90754E-16    0.72666E-17    0.90402E-15
  2583.72    0.47368E-15    0.38035E-16    0.12957E-15    0.10404E-16    0.90870E-15
  2586.43    0.51439E-15    0.41421E-16    0.21687E-15    0.17464E-16    0.91339E-15
  2589.13    0.54913E-15    0.44344E-16    0.23107E-15    0.18659E-16    0.91810E-15
  2591.84    0.56347E-15    0.45631E-16    0.56987E-15    0.46149E-16    0.92282E-15
  2594.55    0.57396E-15    0.46612E-16    0.55502E-15    0.45073E-16    0.92756E-15
  2597.27    0.59070E-15    0.48107E-16    0.49131E-15    0.40012E-16    0.93231E-15
  2599.99    0.60702E-15    0.49575E-16    0.74449E-15    0.60802E-16    0.93708E-15
  2602.71    0.63407E-15    0.51930E-16    0.74170E-15    0.60745E-16    0.94186E-15
  2605.43    0.64924E-15    0.53322E-16    0.53507E-15    0.43946E-16    0.94665E-15
  2608.16    0.65004E-15    0.53538E-16    0.63539E-15    0.52332E-16    0.95146E-15
  2610.88    0.68086E-15    0.56234E-16    0.87359E-15    0.72153E-16    0.95628E-15
  2613.62    0.71650E-15    0.59344E-16    0.95304E-15    0.78936E-16    0.96112E-15
  2616.35    0.75968E-15    0.63097E-16    0.10034E-14    0.83340E-16    0.96597E-15
  2619.09    0.79353E-15    0.66093E-16    0.69522E-15    0.57905E-16    0.97084E-15
  2621.83    0.80321E-15    0.67087E-16    0.28290E-15    0.23629E-16    0.97571E-15
  2624.57    0.80769E-15    0.67650E-16    0.00000E+00    0.00000E+00    0.98061E-15
  2627.32    0.83086E-15    0.69784E-16    0.61799E-15    0.51905E-16    0.98551E-15
  2630.07    0.85927E-15    0.72372E-16    0.11299E-14    0.95165E-16    0.99044E-15
  2632.82    0.89633E-15    0.75704E-16    0.11932E-14    0.10078E-15    0.99537E-15
  2635.57    0.93366E-15    0.79076E-16    0.13595E-14    0.11514E-15    0.10003E-14
  2638.33    0.96505E-15    0.81962E-16    0.12069E-14    0.10251E-15    0.10053E-14
  2641.09    0.10007E-14    0.85229E-16    0.72657E-15    0.61879E-16    0.10103E-14
  2643.85    0.10204E-14    0.87147E-16    0.62266E-15    0.53177E-16    0.10152E-14
  2646.62    0.10461E-14    0.89587E-16    0.47705E-15    0.40855E-16    0.10203E-14
  2649.39    0.10804E-14    0.92780E-16    0.46886E-15    0.40265E-16    0.10253E-14
  2652.16    0.11198E-14    0.96428E-16    0.61810E-15    0.53228E-16    0.10303E-14
  2654.94    0.11845E-14    0.10228E-15    0.85719E-15    0.74021E-16    0.10354E-14
  2657.72    0.12525E-14    0.10845E-15    0.94915E-15    0.82188E-16    0.10404E-14
  2660.50    0.13057E-14    0.11337E-15    0.99329E-15    0.86247E-16    0.10455E-14
  2663.28    0.13580E-14    0.11824E-15    0.99242E-15    0.86410E-16    0.10506E-14
  2666.07    0.13996E-14    0.12220E-15    0.15968E-14    0.13942E-15    0.10557E-14
  2668.86    0.14289E-14    0.12510E-15    0.20720E-14    0.18141E-15    0.10608E-14
  2671.65    0.14625E-14    0.12839E-15    0.20090E-14    0.17637E-15    0.10659E-14
  2674.44    0.14892E-14    0.13110E-15    0.23158E-14    0.20386E-15    0.10711E-14
  2677.24    0.15108E-14    0.13336E-15    0.21879E-14    0.19313E-15    0.10762E-14
  2680.04    0.15299E-14    0.13542E-15    0.18866E-14    0.16699E-15    0.10814E-14
  2682.85    0.15430E-14    0.13695E-15    0.21132E-14    0.18756E-15    0.10866E-14
  2685.65    0.15637E-14    0.13916E-15    0.23976E-14    0.21338E-15    0.10918E-14
  2688.46    0.15857E-14    0.14151E-15    0.18787E-14    0.16766E-15    0.10970E-14
