
                  LOG R/RS     LOG L/LS         VEL LB          TB

                   4.303       9.680            8250.0       10000.0

        6   C      0.000500     0.000500     0.001215
        8   O      0.001574     0.001574     0.002872
       12   MG     0.200000     0.200000     0.240263
       14   SI     0.575000     0.575000     0.597764
       16   S      0.115000     0.115000     0.104734
       20   CA     0.013333     0.013333     0.009713
       22   TI     0.000160     0.000160     0.000098
       24   CR     0.000800     0.000800     0.000449
       26   FE     0.020000     0.020000     0.010456
       27   CO     0.023609     0.023609     0.011697
       28   NI     0.003208     0.003208     0.001595
       31   GA     0.029749     0.029749     0.012409
       32   GE     0.017067     0.017067     0.006734

     No. of ions =  30            Total No. Included = 46255

    2.931  2396.665  2500.0719  CR III      -8.91   -71870.17   -1.121
    2.025  2369.095  2500.9241  FE II       -4.73   -38164.19    0.305
    0.249  2382.363  2500.9446  SI II        9.84    79338.50   -0.670
    0.673  2397.316  2501.1778  CR III      -8.63   -69601.50   -1.875
    0.265  2405.258  2501.3646  FE III      -9.56   -77102.43   -3.610
    9.194  2405.975  2501.5142  FE III     -10.21   -82382.87   -1.798
    0.359  2383.364  2501.9887  SI II        9.84    79355.02   -0.510
   14.798  2409.775  2502.0240  CO III     -10.70   -86283.80   -1.616
    5.078  2366.442  2502.3931  FE II       -3.22   -25981.63    0.011
    0.122  2408.177  2502.5662  FE III     -11.15   -89907.85   -3.386
    7.130  2406.604  2502.9117  FE III      -9.54   -76956.79   -2.158
    1.545  2407.825  2503.2726  FE III     -10.22   -82410.94   -2.605
   13.171  2366.646  2503.3266  FE II       -3.15   -25428.78    0.428
    2.930  2366.152  2503.5659  FE II       -2.68   -21581.64   -0.497
    0.094  2400.643  2503.7596  CR III      -9.27   -74788.88   -2.493
    6.196  2369.244  2503.8754  FE II       -3.77   -30388.54    0.360
    2.288  2414.297  2504.2354  NI III      -9.89   -79749.22   -2.240
    0.700  2412.914  2504.7389  CO III     -10.70   -86327.10   -3.013
    2.427  2401.417  2505.0590  CR III      -8.89   -71737.56   -1.213
    0.122  2409.814  2505.1356  FE III     -10.37   -83646.98   -3.661
    0.823  2360.537  2505.2142  FE II       -0.30    -2430.10   -2.219
    0.643  2413.309  2505.2405  CO III     -10.60   -85517.30   -3.085
    0.376  2409.254  2505.5265  FE III      -9.56   -77075.30   -3.460
    0.551  2365.917  2505.8426  NI II       -3.60   -29070.93   -0.825
    3.570  2369.968  2506.0943  FE II       -3.20   -25805.33   -0.160
   15.400  2403.254  2506.4158  CR III      -9.16   -73881.54   -0.253
   19.169  2360.686  2506.4626  CO II       -1.22    -9812.96   -0.467
    0.114  2374.357  2506.9858  FE II       -4.49   -36252.92   -1.063
    0.434  2371.107  2507.0244  FE II       -3.23   -26055.42   -1.074
    0.247  2403.008  2507.1127  CR III      -8.64   -69659.74   -2.312
    5.945  2363.350  2507.9668  CO II       -1.44   -11651.48   -0.906
    0.074  2381.645  2508.3420  FE II        6.22    50187.81    0.410
