        1     Ntot =  0.914D+09     Ne =  0.247D+10
        2     Ntot =  0.824D+09     Ne =  0.222D+10
        3     Ntot =  0.740D+09     Ne =  0.198D+10
        4     Ntot =  0.675D+09     Ne =  0.179D+10
        5     Ntot =  0.609D+09     Ne =  0.159D+10
        6     Ntot =  0.504D+09     Ne =  0.129D+10
        7     Ntot =  0.411D+09     Ne =  0.100D+10
        8     Ntot =  0.314D+09     Ne =  0.711D+09
        9     Ntot =  0.283D+09     Ne =  0.592D+09
       10     Ntot =  0.273D+09     Ne =  0.555D+09
       11     Ntot =  0.239D+09     Ne =  0.483D+09
       12     Ntot =  0.837D+08     Ne =  0.169D+09
       13     Ntot =  0.282D+08     Ne =  0.561D+08
       14     Ntot =  0.110D+08     Ne =  0.215D+08
       15     Ntot =  0.328D+07     Ne =  0.632D+07
       16     Ntot =  0.585D+06     Ne =  0.113D+07
       17     Ntot =  0.829D+05     Ne =  0.160D+06
       18     Ntot =  0.870D+04     Ne =  0.170D+05
       19     Ntot =  0.607D+03     Ne =  0.120D+04
       20     Ntot =  0.234D+02     Ne =  0.471D+02

  6   C                                       I           II          III         IV   
    0.98   8429.1  -13.3534  0.247D+10     0.4835D-11  0.6754D-03  0.9988D+00  0.5253D-03
    0.94   8811.7  -13.3985  0.222D+10     0.5282D-11  0.7302D-03  0.9988D+00  0.4453D-03
    0.89   9230.8  -13.4454  0.198D+10     0.5773D-11  0.7913D-03  0.9988D+00  0.3644D-03
    0.85   9691.6  -13.4853  0.179D+10     0.7156D-11  0.9314D-03  0.9988D+00  0.2496D-03
    0.81  10200.9  -13.5301  0.159D+10     0.1028D-10  0.1220D-02  0.9986D+00  0.1346D-03
    0.77  10766.7  -13.6118  0.129D+10     0.1554D-10  0.1710D-02  0.9982D+00  0.5835D-04
    0.72  11399.0  -13.7003  0.100D+10     0.2866D-10  0.2770D-02  0.9972D+00  0.1856D-04
    0.68  12110.1  -13.8170  0.711D+09     0.6453D-10  0.5291D-02  0.9947D+00  0.4069D-05
    0.64  12915.9  -13.8628  0.592D+09     0.3125D-09  0.1599D-01  0.9840D+00  0.4454D-06
    0.60  13836.5  -13.8783  0.555D+09     0.2881D-08  0.7057D-01  0.9294D+00  0.2431D-07
    0.55  14898.4  -13.9357  0.483D+09     0.3374D-07  0.3415D+00  0.6585D+00  0.4736D-09
    0.51  16136.9  -14.3915  0.169D+09     0.9020D-07  0.7164D+00  0.2836D+00  0.5067D-11
    0.47  17600.0  -14.8647  0.561D+08     0.1565D-06  0.9354D+00  0.6456D-01  0.2073D-13
    0.43  19354.8  -15.2732  0.215D+08     0.2316D-06  0.9878D+00  0.1222D-01  0.8050D-16
    0.38  21498.4  -15.7988  0.632D+07     0.2298D-06  0.9965D+00  0.3485D-02  0.8379D-18
    0.34  24175.8  -16.5475  0.113D+07     0.1151D-06  0.9976D+00  0.2376D-02  0.6593D-19
    0.30  27615.1  -17.3959  0.160D+06     0.3652D-07  0.9966D+00  0.3382D-02  0.3252D-19
    0.26  32195.1  -18.3747  0.170D+05     0.7760D-08  0.9917D+00  0.8295D-02  0.5354D-19
