#gen specno fitness lum vph C Mg Si S Ca Cr Ni0 Fe0
0 0 8.76104461345e+22 9.08 9281.7 0.155921 0.000586 0.421327 0.243013 0.03766 0.0 2e-06 0.000479
0 1 4.57638682953e+26 9.007 11493.6 0.01677 0.000244 0.021754 0.000673 0.041061 0.0 0.001886 0.001754
0 2 1.98095478685e+26 9.098 12105.4 0.001164 0.001467 0.006485 0.269333 0.000124 2e-06 3e-06 0.002502
0 3 2.29748520831e+26 9.007 13557.2 0.079627 0.064 0.467311 0.273705 7e-06 1e-06 8e-06 0.000351
0 4 2.12387416922e+26 9.08 11441.1 0.278632 0.018644 0.002742 0.171853 0.001029 1.5e-05 7e-06 0.000128
0 5 4.80726516007e+26 9.06 12941.2 0.005654 0.143307 0.333456 0.004484 0.032715 7.8e-05 0.000318 7e-06
0 6 3.9067704836e+26 9.094 13823.7 0.20998 0.037844 0.117665 0.012836 0.000981 2e-06 0.002616 5.2e-05
0 7 3.57698013294e+26 9.08 13217.3 0.228251 0.073499 0.098238 0.000194 1.6e-05 3e-06 0.000791 0.002376
0 8 2.85617458636e+26 9.06 14546.4 0.000139 0.000118 0.000106 0.14166 0.063695 0.0 0.000133 0.024752
0 9 1.91383796401e+26 9.067 9471.7 0.143099 0.001225 0.388195 0.010145 1e-05 0.0 0.000266 0.002754
0 10 3.53892103758e+26 9.064 11105.1 0.003847 0.051666 0.412251 0.008404 4e-05 0.001202 0.000178 0.000502
0 11 3.03957356285e+26 9.067 14278.7 0.215797 0.000255 0.311253 0.001993 7.3e-05 3e-06 4e-06 0.00062
0 12 2.98018334081e+26 9.035 10010.8 0.155937 0.001618 0.000742 0.170489 0.283553 0.000151 0.002474 3e-06
0 13 2.52856680866e+26 9.017 12710.0 0.007131 0.201891 0.323192 0.158532 0.000782 2e-06 0.000195 0.000919
0 14 2.39287238939e+26 9.018 13317.8 0.131226 0.055087 0.07411 0.175298 0.00766 0.0 1.4e-05 0.07218
0 15 1.90333550263e+26 9.017 12243.1 0.006 0.000519 0.43207 0.260649 0.009888 1e-06 2e-06 0.240136
0 16 1.79274692379e+26 9.043 14654.6 0.174449 0.011536 0.026006 0.230899 0.000909 0.000568 2e-06 0.000204
0 17 1.98444245195e+26 9.008 11706.6 0.006376 0.000136 0.536341 0.143654 0.00174 5.7e-05 9.1e-05 0.000358
0 18 3.98278240453e+26 9.074 11402.4 0.07498 0.165667 0.005517 0.078827 0.009957 0.013112 0.000115 1.9e-05
0 19 3.68711937326e+26 9.062 12436.0 0.165888 0.070548 0.607116 0.001501 0.009296 2.3e-05 5.7e-05 0.000658
0 20 2.5842660947e+26 9.081 11414.3 0.143272 0.008728 0.13588 0.000127 0.00084 1e-06 0.00504 0.045476
0 21 2.0147642224e+26 9.0 12243.2 0.126926 0.004254 0.394946 0.262775 0.000104 0.000482 0.000684 0.000104
0 22 2.81091107113e+26 9.048 11456.9 0.117737 0.050619 0.002689 0.217646 0.026357 0.00049 0.000131 0.000286
0 23 3.32587166126e+26 9.05 12053.2 0.226753 0.002739 0.044516 0.17935 0.01896 0.000129 0.01002 0.006016
0 24 3.49736377454e+26 9.067 13233.7 0.300212 0.000974 0.4319 0.000101 7e-06 0.006214 0.0 1.9e-05
0 25 2.97767226227e+26 9.001 8760.1 0.004154 0.002291 0.407219 0.000577 0.089168 2.1e-05 0.003154 0.000748
0 26 2.73760370287e+26 9.014 11339.5 0.000121 0.007196 0.519954 0.179776 0.01097 0.0 0.00056 0.081972
0 27 2.32252405197e+26 9.077 10592.5 0.226775 0.043145 0.300125 0.161409 0.000249 0.001455 0.000863 0.001683
0 28 2.5211693646e+26 9.035 10563.9 0.137947 0.004828 0.018929 0.222379 0.095301 3.5e-05 1e-05 0.001554
0 29 2.83626109794e+26 9.017 13572.4 0.009034 0.001014 0.023462 0.000248 0.000373 0.00131 0.000136 0.002817
0 30 2.16981917618e+26 9.027 12570.1 0.000315 0.053409 0.008751 0.389551 0.001571 0.000138 0.002653 0.00263
0 31 4.26091706411e+26 9.048 11128.4 0.003199 0.002434 0.015246 0.167048 0.001896 0.008252 6e-05 0.000739
0 32 1.8033959559e+26 9.052 10321.0 0.115806 0.144526 0.002862 0.341399 6e-06 5e-05 3.2e-05 0.006113
0 33 4.56163897715e+26 9.008 12933.4 0.150715 0.004716 0.275428 0.004345 0.056626 0.0014 8e-06 6e-06
0 34 4.27048358737e+26 9.088 13640.5 0.104058 0.088208 0.346977 9.3e-05 0.17907 8e-06 0.019646 0.00224
0 35 4.88121663937e+26 9.061 13995.9 0.002235 0.408999 0.027539 0.163473 0.023059 2e-06 0.005186 6e-06
0 36 8.37104974016e+24 9.07 8921.2 0.143362 0.128833 0.346702 0.153747 0.002127 1.3e-05 0.002936 4e-06
0 37 3.02740791151e+26 9.042 12212.2 0.019522 0.002819 0.086182 0.145251 0.006744 0.0 0.001347 0.047381
