td Ia.01 Ia.11 Ia.21 Ibc.fast Ibc.ave Ibc.slow II-P II-L IIb IIn.fast IIn.ave IIn.slow
-30.0 57.530 44.540 31.550 10.488 9.580 4.445 -999 -999 -999 2.961 -999 -999
-29.0 54.660 42.160 29.660 10.065 8.974 4.134 -999 -999 -999 2.827 -999 -999
-28.0 51.800 39.790 27.780 9.642 8.368 3.823 -999 -999 -999 2.693 -999 -999
-27.0 48.930 37.410 25.890 9.219 7.762 3.513 -999 -999 -999 2.558 -999 -999
-26.0 46.060 35.030 24.010 8.796 7.156 3.202 -999 -999 -999 2.424 -999 -999
-25.0 43.190 32.660 22.120 8.373 6.550 2.891 -999 -999 -999 2.290 -999 -999
-24.0 40.320 30.280 20.240 7.950 5.944 2.580 -999 -999 -999 2.155 -999 -999
-23.0 37.450 27.900 18.350 7.527 5.338 2.269 -999 -999 -999 2.021 -999 -999
-22.0 34.580 25.530 16.470 7.104 4.732 1.985 -999 -999 -999 1.887 -999 -999
-21.0 31.710 23.150 14.580 6.681 4.126 1.727 -999 -999 30.334 1.753 -999 -999
-20.0 28.840 20.770 12.700 6.258 3.520 1.505 -999 -999 1.599 1.618 -999 -999
-19.0 25.980 18.390 10.810 5.835 2.914 1.283 -999 -999 0.495 1.484 -999 -999
-18.0 23.110 16.020 8.930 5.412 2.308 1.095 -999 -999 0.146 1.350 -999 -999
-17.0 20.240 13.640 7.040 4.989 1.793 0.927 -999 -999 0.277 1.215 -999 -999
-16.0 17.370 11.260 5.160 4.566 1.369 0.779 -999 -999 0.521 1.081 -999 -999
-15.0 14.500 8.890 3.270 4.143 1.019 0.649 37.436 -999 0.776 0.947 -999 66.472
-14.0 11.630 6.510 1.390 3.720 0.782 0.535 19.931 -999 0.960 0.824 -999 50.113
-13.0 8.760 4.820 0.870 3.297 0.614 0.437 2.427 56.200 1.033 0.778 -999 33.753
-12.0 5.890 3.290 0.680 2.874 0.497 0.353 1.447 38.800 1.025 0.733 17.394 17.394
-11.0 3.020 1.780 0.530 2.451 0.416 0.281 0.847 21.400 0.959 0.576 1.035 1.035
-10.0 1.450 0.950 0.450 2.028 0.354 0.225 0.680 4.000 0.859 0.412 0.622 0.622
-9.0 1.170 0.770 0.380 1.605 0.298 0.170 0.514 0.440 0.740 0.315 0.378 0.378
-8.0 0.880 0.600 0.310 1.183 0.245 0.128 0.347 0.340 0.615 0.220 0.257 0.257
-7.0 0.650 0.440 0.240 0.827 0.193 0.093 0.293 0.253 0.491 0.192 0.210 0.210
-6.0 0.470 0.320 0.160 0.540 0.145 0.064 0.238 0.187 0.380 0.165 0.190 0.190
-5.0 0.330 0.210 0.090 0.322 0.102 0.041 0.184 0.122 0.280 0.137 0.160 0.160
-4.0 0.200 0.130 0.060 0.187 0.065 0.023 0.131 0.075 0.193 0.110 0.120 0.120
-3.0 0.110 0.070 0.030 0.068 0.036 0.013 0.072 0.046 0.122 0.082 0.077 0.077
-2.0 0.050 0.030 0.010 0.044 0.014 0.002 0.026 0.028 0.067 0.055 0.038 0.038
-1.0 0.010 0.010 0.000 0.021 0.002 0.001 0.005 0.013 0.020 0.027 0.010 0.011
0.0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
1.0 0.010 0.010 0.010 0.044 0.007 0.007 0.009 0.004 0.001 0.014 0.003 0.003
2.0 0.030 0.030 0.030 0.112 0.023 0.014 0.021 0.015 0.025 0.028 0.014 0.014
3.0 0.070 0.060 0.040 0.196 0.046 0.027 0.039 0.025 0.065 0.041 0.029 0.029
4.0 0.130 0.100 0.070 0.294 0.075 0.041 0.058 0.034 0.116 0.055 0.043 0.043
5.0 0.200 0.160 0.110 0.402 0.112 0.061 0.075 0.044 0.171 0.069 0.053 0.053
6.0 0.280 0.210 0.150 0.518 0.152 0.080 0.091 0.056 0.230 0.083 0.061 0.061
7.0 0.350 0.270 0.190 0.633 0.194 0.105 0.108 0.067 0.291 0.096 0.068 0.068
8.0 0.430 0.330 0.240 0.749 0.242 0.129 0.122 0.079 0.350 0.110 0.076 0.076
9.0 0.510 0.400 0.290 0.864 0.292 0.158 0.135 0.090 0.406 0.124 0.088 0.088
10.0 0.590 0.470 0.340 0.975 0.346 0.186 0.147 0.102 0.459 0.138 0.105 0.102
