#SELECT
#   TOP 10000
#   pmra, pmde
#   FROM ppmxl.main
#   WHERE 
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 2 ))#
#	and (r1mag-kmag)<1.185
#	and e_kmag<0.4
#	and r1mag>16
#pmra pmde
1.73056E-6 -2.92222E-6
-6.26944E-6 3.20278E-6
-9.31111E-6 1.84222E-5
-4.55556E-7 4.19444E-7
-3.225E-6 -4.03056E-6
-1.98333E-6 -1.61389E-6
-1.44444E-7 1.24722E-6
9.675E-6 -2.6225E-5
1.83333E-7 -5.7E-6
-2.16111E-6 6.0E-7
-7.80556E-7 -7.81667E-6
4.48333E-6 -6.58889E-6
-8.19444E-7 -1.31667E-6
2.22222E-8 -5.07222E-6
5.2E-6 5.41389E-6
-2.80278E-6 -1.375E-6
-2.0E-7 -6.19444E-7
-4.00833E-6 -4.36111E-7
4.85833E-6 -4.98333E-6
2.69444E-6 5.48889E-6
2.28889E-6 6.675E-6
-1.09167E-6 8.0E-7
-6.72778E-6 -4.30278E-6
3.29167E-6 1.99556E-5
-6.65556E-6 1.21667E-6
-2.65E-6 4.61111E-7
-4.73611E-6 -5.08889E-6
1.86111E-7 8.01389E-6
1.875E-6 -3.88056E-6
-2.57222E-6 -1.88333E-6
-2.88889E-6 3.48056E-6
-7.43889E-6 -3.05833E-6
1.05056E-5 -1.86667E-6
5.41667E-7 -5.03333E-6
2.90278E-6 -1.00556E-5
-3.91667E-6 -6.2E-6
1.14167E-6 1.325E-6
1.41389E-6 1.28889E-6
1.76111E-6 -5.77778E-7
7.44444E-7 -4.05556E-7
3.00278E-6 -2.66667E-7
4.72222E-7 -5.95E-6
2.72222E-7 -4.66667E-6
-6.65833E-6 -2.68333E-6
6.09167E-6 1.80833E-6
-1.79722E-6 1.03889E-5
-1.925E-6 -1.33722E-5
3.63333E-6 -6.31389E-6
-7.94444E-7 -1.825E-6
-1.16944E-5 -2.49722E-6
2.21111E-6 -1.79722E-6
-1.62778E-6 -3.52222E-6
-9.55556E-7 4.69444E-7
-2.37778E-6 3.21111E-6
2.76389E-6 -1.25E-7
-2.23056E-6 9.25E-7
7.76667E-6 6.125E-6
-6.02778E-7 5.94444E-7
-1.16667E-6 -1.11667E-6
4.325E-6 -5.05278E-6
-6.18056E-6 1.70389E-5
-2.22778E-6 5.33333E-6
3.95833E-6 -6.86111E-7
5.22778E-6 -1.72222E-7
-2.35278E-6 -1.44722E-6
-9.02778E-6 3.96389E-6
-9.3E-6 -1.69444E-7
7.80556E-7 5.38889E-7
-1.64444E-6 -9.41667E-7
9.72222E-7 8.36111E-7
-1.31194E-5 1.52028E-5
-1.60833E-6 -1.69444E-6
1.60833E-6 -4.36111E-7
1.41667E-6 -5.02778E-7
-2.22222E-6 6.78889E-6
-4.46389E-6 -5.74722E-6
-8.95556E-6 1.6E-6
-4.91389E-6 3.71389E-6
2.08889E-6 1.38889E-6
-1.26944E-6 -2.89167E-6
-6.94444E-7 -5.93889E-6
8.34444E-6 -3.31111E-6
1.07222E-6 -3.53611E-6
-1.13167E-5 -1.77778E-6
-1.47222E-7 -1.2E-6
-3.25E-7 -6.25278E-6
