#SELECT
#   TOP 10000
#   pmra, pmde, e_pmra, e_pmde
#   FROM ppmxl.main
#   WHERE
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 2 ))
#	and (r1mag-kmag)<1.
#	and e_kmag<0.4
#	and r1mag>16
#

# pmra          pmde          e_pmra       e_pmde      
  -6.26944E-6   3.20278E-6    1.27778E-6   1.27778E-6  
  -9.31111E-6   1.84222E-5    1.22222E-6   1.25E-6     
  -4.55556E-7   4.19444E-7    1.47222E-6   1.25E-6     
  -3.225E-6     -4.03056E-6   1.19444E-6   1.19444E-6  
  9.675E-6      -2.6225E-5    1.30556E-6   1.30556E-6  
  -7.80556E-7   -7.81667E-6   1.22222E-6   1.36111E-6  
  -2.0E-7       -6.19444E-7   1.25E-6      1.25E-6     
  -4.00833E-6   -4.36111E-7   1.44444E-6   1.30556E-6  
  4.85833E-6    -4.98333E-6   1.41667E-6   1.41667E-6  
  2.28889E-6    6.675E-6      1.30556E-6   1.30556E-6  
  -6.65556E-6   1.21667E-6    1.30556E-6   1.30556E-6  
  -2.65E-6      4.61111E-7    1.44444E-6   1.30556E-6  
  -4.73611E-6   -5.08889E-6   1.25E-6      1.25E-6     
  -2.57222E-6   -1.88333E-6   1.44444E-6   1.30556E-6  
  -2.88889E-6   3.48056E-6    1.22222E-6   1.33333E-6  
  1.05056E-5    -1.86667E-6   1.25E-6      1.22222E-6  
  -3.91667E-6   -6.2E-6       1.30556E-6   1.44444E-6  
  1.41389E-6    1.28889E-6    1.36111E-6   1.36111E-6  
  1.76111E-6    -5.77778E-7   1.25E-6      1.55556E-6  
  4.72222E-7    -5.95E-6      1.52778E-6   1.30556E-6  
  -1.79722E-6   1.03889E-5    1.66667E-6   1.83333E-6  
  -1.16944E-5   -2.49722E-6   1.91667E-6   1.75E-6     
  2.21111E-6    -1.79722E-6   1.75E-6      1.75E-6     
  -2.23056E-6   9.25E-7       1.30556E-6   1.30556E-6  
  -2.22778E-6   5.33333E-6    1.30556E-6   1.47222E-6  
  7.80556E-7    5.38889E-7    1.19444E-6   1.19444E-6  
  -1.31194E-5   1.52028E-5    1.38889E-6   1.25E-6     
  -2.22222E-6   6.78889E-6    1.66667E-6   1.80556E-6  
  -1.13167E-5   -1.77778E-6   1.30556E-6   1.30556E-6  
  7.41667E-7    4.75E-7       1.19444E-6   1.19444E-6  
  -1.65E-6      -1.29444E-6   1.22222E-6   1.22222E-6  
  2.58333E-7    -3.00278E-6   1.36111E-6   1.36111E-6  
  1.11111E-8    -2.38333E-6   1.25E-6      1.25E-6     
  -5.0E-7       2.075E-6      1.27778E-6   1.27778E-6  
  -4.72222E-6   1.88889E-7    1.16667E-6   1.11111E-6  
  9.72222E-7    -7.80556E-7   1.25E-6      1.25E-6     
  1.94444E-6    1.85278E-6    1.66667E-6   1.66667E-6  
  8.33333E-9    3.44444E-7    1.27778E-6   1.27778E-6  
  -6.60278E-6   2.20278E-6    1.25E-6      1.25E-6     
  -1.36389E-6   -2.55556E-6   1.22222E-6   1.22222E-6  
  -8.10833E-6   -1.34167E-6   1.77778E-6   1.61111E-6  
  4.51944E-6    -7.71389E-6   1.19444E-6   1.19444E-6  
  -8.86111E-7   -2.89444E-6   1.58333E-6   1.72222E-6  
  1.38889E-6    1.33889E-6    1.22222E-6   1.22222E-6  
  -3.34167E-6   -1.36944E-6   1.22222E-6   1.22222E-6  
  -2.925E-6     -7.83333E-7   1.16667E-6   1.16667E-6  
  -2.88056E-6   5.28611E-6    1.33333E-6   1.58333E-6  
  1.43889E-6    -7.94444E-7   1.36111E-6   1.36111E-6  
  -1.84167E-6   -2.78889E-6   1.41667E-6   1.16667E-6  
  -5.16667E-7   -3.54722E-6   1.25E-6      1.25E-6     
  -2.92778E-6   1.02278E-5    1.08333E-6   1.11111E-6  
  -9.94444E-7   6.5E-7        1.33333E-6   1.33333E-6  
  -2.94444E-7   4.24722E-6    1.38889E-6   1.38889E-6  
  4.5E-7        -1.86667E-6   1.25E-6      1.27778E-6  
  -3.25278E-6   4.28056E-6    1.44444E-6   1.44444E-6  
  -4.91944E-6   1.23056E-6    1.27778E-6   1.27778E-6  
  -7.5E-7       -3.12778E-6   1.5E-6       1.5E-6      
  1.95278E-6    -2.26389E-6   1.19444E-6   1.19444E-6  
  -2.51944E-6   -1.47778E-6   1.58333E-6   1.27778E-6  
  -1.21528E-5   1.16389E-6    1.08333E-6   1.08333E-6  
  2.61111E-7    1.60556E-6    1.25E-6      1.5E-6      
  -9.48056E-6   6.5E-7        1.30556E-6   1.25E-6     
  -5.875E-6     -1.91833E-5   1.19444E-6   1.22222E-6  
  -6.61111E-6   3.82694E-5    1.30556E-6   1.30556E-6  
  3.14722E-6    -1.26667E-6   1.33333E-6   1.33333E-6  
  4.13611E-6    -1.11222E-5   1.36111E-6   1.36111E-6  
  -2.79167E-6   1.4E-6        1.22222E-6   1.22222E-6  
