#SELECT
#   TOP 10000
#   pmra, pmde, e_pmra, e_pmde
#   FROM ppmxl.main
#   WHERE 
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 1 ))
#	and (r1mag-kmag)<1.3
#	and e_kmag<0.4
#	and r1mag>16

# pmra        pmde        e_pmra     e_pmde    
  2.39722E-6  -3.09722E-6 1.13889E-6 1.13889E-6
  1.43611E-6  2.55556E-7  1.25E-6    1.47222E-6
  1.78167E-5  -4.33056E-6 1.13889E-6 1.13889E-6
  -4.31944E-6 -3.94444E-6 1.19444E-6 1.19444E-6
  -4.33056E-6 1.57222E-6  1.25E-6    1.25E-6   
  3.45278E-6  7.69444E-7  1.11111E-6 1.11111E-6
  3.01667E-6  -4.80556E-6 1.11111E-6 1.11111E-6
  1.43889E-6  -7.94444E-7 1.36111E-6 1.36111E-6
  -1.35417E-5 1.05611E-5  1.58333E-6 1.58333E-6
  6.21944E-6  -2.81111E-6 1.16667E-6 1.16667E-6
  -7.55556E-7 -1.45278E-6 1.52778E-6 1.25E-6   
  -1.84167E-6 -2.78889E-6 1.41667E-6 1.16667E-6
  2.3E-6      -8.08333E-7 1.16667E-6 1.13889E-6
  5.68056E-6  2.07222E-6  1.19444E-6 1.16667E-6
  5.47778E-5  -3.59222E-5 1.88889E-6 1.66667E-6
  -4.58056E-6 -3.125E-6   1.38889E-6 1.22222E-6
  -1.10917E-5 2.26972E-5  1.27778E-6 1.27778E-6
  -5.48333E-6 5.225E-6    1.33333E-6 1.5E-6    
  1.08056E-6  -4.16389E-6 1.13889E-6 1.13889E-6
  1.01611E-5  -1.69444E-7 1.19444E-6 1.19444E-6
  -4.99722E-6 -3.08889E-6 1.33333E-6 1.33333E-6
  -3.01944E-6 -9.38889E-7 1.08333E-6 1.08333E-6
  1.97222E-6  -7.83333E-7 1.13889E-6 1.13889E-6
  5.76944E-5  -6.53667E-5 1.55556E-6 1.55556E-6
  -8.36111E-7 -2.055E-5   1.16667E-6 1.16667E-6
  1.74722E-6  1.11222E-5  1.27778E-6 1.27778E-6
  9.11111E-7  -1.33889E-6 1.11111E-6 1.11111E-6
  -2.48611E-6 -1.78778E-5 1.16667E-6 1.16667E-6
  -9.83333E-7 -2.77778E-7 1.16667E-6 1.44444E-6
  -8.17222E-6 2.42667E-5  1.5E-6     1.5E-6    
  -7.11389E-6 -2.12306E-5 1.61111E-6 1.61111E-6
  3.84806E-5  -2.74694E-5 1.22222E-6 1.22222E-6
  -2.03611E-6 1.65833E-6  1.25E-6    1.25E-6   
  -1.72E-5    -4.36139E-5 1.75E-6    1.75E-6   
  -4.13361E-5 1.11339E-4  1.33333E-6 1.47222E-6
  -4.83889E-6 3.35E-6     1.22222E-6 1.22222E-6
  -4.65194E-5 3.47306E-5  1.44444E-6 1.44444E-6
  7.13889E-7  -5.26944E-6 1.16667E-6 1.38889E-6
  6.57222E-6  -6.08333E-7 1.19444E-6 1.16667E-6
  -1.35833E-6 7.02778E-6  1.16667E-6 1.19444E-6
  -1.80861E-5 9.025E-6    1.58333E-6 1.55556E-6
  1.19722E-5  6.88056E-6  1.33333E-6 1.25E-6   
  5.69167E-6  3.98889E-6  1.13889E-6 1.13889E-6
  -1.62778E-6 -1.08083E-5 1.05556E-6 1.11111E-6
  7.30556E-7  -1.45E-6    1.16667E-6 1.16667E-6
  -4.42222E-6 7.63278E-5  1.52778E-6 1.52778E-6
  2.18611E-6  1.325E-6    1.19444E-6 1.41667E-6
  -1.73611E-6 -1.38333E-6 1.22222E-6 1.22222E-6
  -8.86111E-7 8.17944E-5  1.75E-6    1.97222E-6
  -1.55556E-6 4.02222E-6  1.66667E-6 1.80556E-6
  -1.66667E-6 -1.27833E-5 1.5E-6     1.5E-6    
  4.65056E-5  -1.04586E-4 1.63889E-6 1.86111E-6
  4.66667E-7  -2.27222E-6 1.25E-6    1.5E-6    
  -3.33056E-6 -3.16944E-6 1.5E-6     1.25E-6   
  -4.825E-6   1.56944E-6  1.33333E-6 1.19444E-6
  4.44722E-6  1.06389E-6  1.19444E-6 1.19444E-6
  5.91667E-7  -4.33333E-7 1.08333E-6 1.08333E-6
  -7.12889E-5 -5.73361E-5 1.55556E-6 1.52778E-6
  -9.97222E-7 -1.74167E-6 1.22222E-6 1.22222E-6
  1.84444E-6  -1.66111E-6 1.27778E-6 1.55556E-6
  -6.39167E-6 2.00556E-6  1.19444E-6 1.19444E-6
  2.95278E-6  -8.02778E-7 1.19444E-6 1.16667E-6
  -2.07222E-6 1.02778E-7  1.16667E-6 1.16667E-6
  1.18611E-6  -3.625E-6   1.16667E-6 1.16667E-6
  -6.50556E-6 -6.72222E-7 1.66667E-6 1.52778E-6
  -7.02778E-7 4.97222E-7  1.27778E-6 1.52778E-6
  -2.22222E-7 -6.94444E-8 1.11111E-6 1.11111E-6
  -1.04722E-6 -3.27778E-7 1.13889E-6 1.13889E-6
  -6.97778E-6 2.14167E-6  1.16667E-6 1.16667E-6
